#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery3
#Serial Number: SN:210415BCB4A5
#Date Time: 2026-05-26 15:37:38.167
#Start: 40120.6 Hz
#Stop: 107226 Hz
#Steps: 501
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.08906 V
#Offset: -0.000338471 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Phase (deg)
40120.63374709649,-43.75567433917755,-31.21377252564516
40199.59264606618,-45.08338655716864,-26.15123769350653
40278.70693908486,-45.18878665499322,-28.22906153895249
40357.97693197382,-44.85315056229733,-24.1175125964023
40437.40293115618,-45.02905283452576,-23.68225737952045
40516.98524365813,-45.14771221735232,-26.89795825617335
40596.72417711009,-44.6904029019089,-24.1599756526771
40676.62003974791,-45.30233176312693,-18.76208051283801
40756.67314041408,-43.9632086012975,-27.57119875422586
40836.88378855887,-45.44409866566745,-26.82370642302124
40917.25229424159,-44.20222143763199,-21.93026945540851
40997.77896813172,-44.76790358971342,-21.76085039534939
41078.4641215102,-44.8651198599654,-22.47751289225243
41159.30806627054,-46.00750552407645,-25.8274307435491
41240.31111492009,-44.67459436611735,-23.06606191076811
41321.47358058122,-44.99536834783163,-28.73844159151705
41402.79577699253,-44.08966006026522,-25.15616688971824
41484.27801851008,-44.36273417659073,-28.01970124806178
41565.92062010858,-45.69648074817377,-26.0360702487276
41647.72389738265,-45.50006306338794,-22.44468852265604
41729.68816654799,-45.13384812087359,-25.73436790382831
41811.81374444261,-43.85094242949972,-28.35371462840982
41894.1009485281,-44.52743124142053,-26.94938143076222
41976.55009689082,-45.99095873967179,-19.22463161887376
42059.16150824312,-44.01896020019812,-18.82767147508
42141.9355019246,-45.6149889728193,-32.79795575117409
42224.87239790332,-45.18940827565399,-26.77549099603502
42307.97251677707,-44.39690527228257,-26.77907040487059
42391.23617977458,-44.96782458360799,-25.88791192542458
42474.66370875674,-45.04701633002674,-25.64660142956478
42558.25542621793,-45.62916231735472,-29.00672713710027
42642.01165528717,-44.53177220231374,-22.23825501895647
42725.93271972941,-45.68651040853211,-25.87213127265435
42810.01894394682,-46.28733205007268,-24.3769716498704
42894.27065297995,-44.40423957853943,-13.1515601897998
42978.68817250909,-44.86667721898265,-24.27236942299258
43063.27182885545,-44.91956580540646,-25.70388674772366
43148.02194898247,-45.85630942631441,-25.67183178147194
43232.93886049707,-45.7155990442116,-23.81434935949753
43318.02289165088,-45.50918949486988,-25.41979364378547
43403.27437134156,-46.50585395751012,-27.40176558863588
43488.69362911409,-44.51997004836279,-29.59055494116322
43574.28099516195,-45.30934739654253,-18.92033610224806
43660.03680032848,-44.64910605699301,-27.87010802787533
43745.96137610813,-45.25101844992367,-16.26694655788036
43832.05505464773,-45.25926256692835,-30.39903977259598
43918.31816874782,-45.88506677314542,-21.73158226730693
44004.75105186387,-45.45364496102343,-19.91429423399387
44091.35403810762,-45.26749071556124,-24.89819569136767
44178.12746224835,-45.03678081822905,-19.89321429937692
44265.07165971417,-44.88285030205429,-26.66904706205166
44352.18696659334,-45.57352685781655,-24.57304034097862
44439.47371963555,-44.92386998017438,-18.70982577205577
44526.93225625322,-46.13792828297677,-19.34405671273275
44614.56291452282,-45.52420909810783,-21.91084882304236
44702.36603318615,-44.69097591355108,-25.94961340605738
44790.34195165169,-44.74986484041332,-23.99671600553091
44878.49100999587,-46.68134203505836,-21.4732909705223
44966.8135489644,-45.8184939456184,-19.50671685808185
45055.30990997361,-45.5167785546293,-24.7888982686082
45143.98043511173,-45.42962407789284,-24.94566429745302
45232.82546714025,-45.32700991668612,-26.83209757835893
45321.84534949522,-45.18449453336076,-24.91342672804603
45411.04042628859,-44.18600158429762,-22.55348756586625
45500.41104230949,-45.11757606195448,-20.53570599412006
45589.9575430257,-44.5880891234098,-22.3315993990141
45679.68027458481,-46.25145882348704,-15.33914599009978
45769.57958381567,-45.303849115283,-25.47197335619149
45859.65581822972,-46.00984496826293,-22.41341037076359
45949.90932602227,-44.63413620909812,-19.31824107015566
46040.34045607396,-44.71707997134106,-24.15437307474852
46130.94955795196,-45.55074735084573,-18.32616134268473
46221.73698191148,-45.00914894819934,-16.25238459378943
46312.70307889698,-45.40248317191562,-23.24823179316579
46403.84820054362,-45.7468817235707,-27.59383132461917
46495.17269917861,-44.64242624209483,-24.47286362438411
46586.6769278225,-46.72876404269297,-23.03375767850792
46678.36124019066,-45.24184294634755,-24.69589011805253
46770.22599069455,-45.06826683429787,-21.03477826748397
46862.27153444311,-45.8852347533136,-29.40621168075101
46954.49822724419,-44.98068097397593,-22.97574167857206
47046.90642560585,-44.87581248362758,-22.60195661944287
47139.49648673779,-44.370892522684,-19.63162688458573
47232.26876855269,-44.57935950384183,-16.54423168054988
47325.22362966764,-44.95569705449451,-26.01110117334007
47418.36142940549,-45.49571877222307,-28.44807507434018
